admin2,econ1,econ2,amount
105035,4000,4800,15971000
105035,5000,5100,61390600
106001,4000,4100,653385200
106001,4000,4200,19579928000.0
106001,4000,4500,4115465600
106001,4000,4600,13855468600
106001,4000,4700,58255200
106001,4000,4800,535954860
106001,5000,5100,23831356600
106001,6000,6500,-28756950600
106002,4000,4100,271617800
106002,4000,4200,5842257800
106002,4000,4500,6556400
106002,4000,4600,20000000
106002,4000,4700,14322000
106002,4000,4800,123200000
106002,5000,5100,672544000
106003,4000,4100,287385800
106003,4000,4200,7074945400
106003,4000,4500,26985800
106003,4000,4600,20000000
106003,4000,4800,44319000
106003,5000,5100,873310400
106004,4000,4100,284845000
106004,4000,4200,7842675600.0
106004,4000,4500,917200
106004,4000,4600,17970000
106004,4000,4700,7365600
106004,4000,4800,47993200
106004,5000,5100,873701600
106005,4000,4100,466698600
106005,4000,4200,8520535600
106005,4000,4500,70213600
106005,4000,4600,24800000
106005,4000,4700,10155600
106005,4000,4800,108451000
106005,5000,5100,453676000
106006,4000,4100,368846600
106006,4000,4200,8544778000
106006,4000,4500,19426200
106006,4000,4600,20553600
106006,4000,4800,124104000
106006,5000,5100,1892356600
106007,4000,4100,290563400
106007,4000,4200,7100296400
106007,4000,4500,6507200
106007,4000,4600,19991000
106007,4000,4700,25444600
106007,4000,4800,106429800
106007,5000,5100,720782400.0
106008,4000,4100,407961400
106008,4000,4200,9601001600.0
106008,4000,4500,135992600
106008,4000,4600,19997000
106008,4000,4700,18637200
106008,4000,4800,130440000
106008,5000,5100,1020146800.0
106009,4000,4100,298130600
106009,4000,4200,5577634000
106009,4000,4500,69724200
106009,4000,4600,74836000
106009,4000,4800,130405000
106009,5000,5100,1423895780.0
106010,4000,4100,203422400
106010,4000,4200,2209257800.0
106010,4000,4500,26768200
106010,4000,4600,35183400
106010,4000,4800,292174000
106010,5000,5100,1618883800
106011,4000,4100,248888600
106011,4000,4200,4234489000.0
106011,4000,4500,10667000
106011,4000,4600,108776400
106011,4000,4700,11600600
106011,4000,4800,90439800
106011,5000,5100,636312800.0
301002,4000,4200,791577200
301002,4000,4800,559206000
301002,5000,5100,0
301007,4000,4100,20952000
301007,4000,4200,305800
301007,4000,4800,7411696600
301007,5000,5100,240000
301007,6000,6500,-3234463200
